Epoch Num,BinAcc,Percision,Recall,AUCROC
287,0.8305708765983582,0.903930127620697,0.7472923994064331,0.9133573770523071
574,0.8784530162811279,0.8892989158630371,0.8700361251831055,0.9514128565788269
861,0.9134438037872314,0.9457364082336426,0.8808664083480835,0.9762221574783325
1148,0.9558011293411255,0.9566786885261536,0.9566786885261536,0.9910222291946411
1435,0.9723756909370422,0.9816176295280457,0.9638988971710205,0.9974960088729858
1722,0.9539594650268555,0.9846153855323792,0.9241877198219299,0.9928475618362427
2009,0.9742172956466675,0.961403489112854,0.9891696572303772,0.9971227049827576
2296,0.9668508172035217,0.9743589758872986,0.9602888226509094,0.9947952032089233
2583,0.968692421913147,0.9887217879295349,0.9494584798812866,0.9926712512969971
2870,0.970534086227417,0.9815497994422913,0.9602888226509094,0.9912257790565491
